Source IP,Source Port,Destination IP,Destinatino Port,Protocol,Num_pkts,Bytes,Stream ID,StoD Num_pkts,StoD bytes,DtoS Num_pkts,DtoS bytes,Captured Time,Duration,StoD bits/sec,DtoS bits/sec
fe80::cde:8077:34db:3749,5353,ff02::fb,5353,UDP,338,103960,47,338,103960,0,0,21.258069,5010.502913,165,0
192.168.0.17,5353,224.0.0.251,5353,UDP,164,63303,48,164,63303,0,0,21.360633,3088.122521,163,0
fe80::18dc:d5c2:8ea2:90e4,5353,ff02::fb,5353,UDP,164,66583,49,164,66583,0,0,21.360633,3088.122521,172,0
192.168.0.38,54768,104.18.22.52,443,TCP,15,918,4,8,456,7,462,24.392584,268.548489,13,13
192.168.0.38,54774,121.53.105.132,443,TCP,12,833,5,6,360,6,473,24.893731,134.913075,21,28
192.168.0.38,54770,121.53.218.25,443,TCP,12,817,6,5,294,7,523,24.893793,134.601007,17,31
192.168.0.38,54767,121.53.205.240,443,TCP,13,883,7,6,360,7,523,24.893796,133.259337,21,31
192.168.0.38,54765,211.231.99.68,443,TCP,13,883,8,6,360,7,523,24.893807,134.772695,21,31
192.168.0.38,54764,172.64.202.28,443,TCP,7,438,9,4,240,3,198,24.893825,78.92572,24,20
192.168.0.38,54769,23.67.53.144,443,TCP,10,660,10,5,306,5,354,25.394904,74.935382,32,37
192.168.0.38,54773,172.64.202.28,443,TCP,15,918,11,8,456,7,462,25.895141,267.181421,13,13
192.168.0.38,54759,116.120.5.210,443,TCP,8,555,12,4,252,4,303,27.272338,9.859014,204,245
192.168.0.38,5353,192.168.0.54,5353,UDP,14,15306,50,13,14995,1,311,28.286326,4197.882481,28,0
192.168.0.7,5353,224.0.0.251,5353,UDP,228,169102,51,228,169102,0,0,29.451042,3196.457745,423,0
fe80::1ce6:d6b2:d0bf:7b53,5353,ff02::fb,5353,UDP,235,180619,52,235,180619,0,0,29.451044,3196.457745,452,0
192.168.0.38,54771,110.76.142.63,443,TCP,2,108,13,1,54,1,54,29.560566,0.00609,70935,70935
192.168.0.38,54772,110.76.142.63,443,TCP,2,108,14,1,54,1,54,30.061738,0.007167,60276,60276
192.168.0.54,60360,192.168.0.38,7000,TCP,12,2613,15,6,449,6,2164,30.837985,0.074686,48094,231797
192.168.0.38,54749,146.75.49.91,443,TCP,15,1017,16,7,414,8,603,32.088291,159.691202,20,30
192.168.0.38,54962,239.255.255.250,1900,UDP,4,872,53,4,872,0,0,33.190651,3.022444,2308,0
192.168.0.38,54752,185.199.110.153,443,TCP,18,1116,17,9,498,9,618,33.630651,259.310308,15,19
192.168.0.42,59896,192.168.0.38,7000,TCP,15,4271,18,7,527,8,3744,34.568675,0.056965,74010,525796
192.168.0.38,54763,211.249.222.33,443,TCP,2,108,19,1,54,1,54,34.775467,0.006101,70808,70808
192.168.0.38,6948,168.126.63.2,53,UDP,2,198,54,1,91,1,107,37.964644,0.00553,131645,154792
192.168.0.38,39707,168.126.63.2,53,UDP,2,242,55,1,91,1,151,37.964698,0.005475,132968,220639
192.168.0.38,53401,142.250.206.202,443,UDP,19,6896,56,9,2466,10,4430,37.970686,0.264967,74454,133752
